mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.5139562288920083,0.016802904022027935,0.13744680086771646,0.02161761171934682,10,sqrt,2,4,200,60,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 60}",0.5748622441975759,0.5727594587482053,0.5722869809173183,0.5733028946210331,0.0011193709994361141,58
2.700403849283854,0.06602532298563242,0.26522231101989746,0.18420140780005695,10,sqrt,2,4,200,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 100}",0.5787738114561706,0.5767032270017358,0.5720443285733297,0.5758404556770788,0.002814221708465795,37
3.1673803329467773,0.05386364689018027,0.14172784487406412,0.018430420765004722,10,sqrt,2,4,300,60,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 60}",0.5757358184852668,0.5743118152930518,0.5716343111860885,0.5738939816548023,0.0017002998251764586,48
3.635023752848307,0.11838480682793005,0.14598711331685385,0.0030545490033238388,10,sqrt,2,4,300,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 100}",0.5770738060667672,0.5767794018497112,0.5729259324407309,0.5755930467857365,0.0018897605946708118,38
2.006774663925171,0.0406893344484421,0.11496369043986003,0.007182370265866737,10,sqrt,2,8,200,60,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 60}",0.5750027202968894,0.5747660302141206,0.5717005192813749,0.573823089930795,0.0015039913940700055,51
2.3431920210520425,0.03760115647724538,0.11827953656514485,0.002977142546498539,10,sqrt,2,8,200,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 100}",0.5754373977353424,0.5761527426538429,0.5707340067210349,0.5741080490367401,0.0024036154364114122,40
2.93610151608785,0.04857870299299098,0.13869531949361166,0.007990629544856843,10,sqrt,2,8,300,60,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 60}",0.5752245729699361,0.5754410843700309,0.5713630700977608,0.574009575812576,0.001873448455034153,43
3.440073808034261,0.04563397438170572,0.14127667744954428,0.009423890918478159,10,sqrt,2,8,300,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 100}",0.5742990583205649,0.5752460739684004,0.5721484999047326,0.5738978773978993,0.0012960069108637882,47
2.021496534347534,0.013431542047007446,0.1138933499654134,0.0022171957098425744,10,sqrt,5,4,200,60,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 60}",0.5731539835183529,0.5717135626799523,0.5694210187170694,0.5714295216384583,0.0015371545220189949,67
2.489920695622762,0.0715320208071364,0.1276367505391439,0.0033654920275724494,10,sqrt,5,4,200,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 100}",0.5748981695075822,0.5769341689389497,0.5697470059632215,0.5738597814699178,0.003024622863266643,49
