model,model_detail,n_clusters,silhouette,calinski_harabasz,davies_bouldin,inertia,aic,bic
KMeans,k=4,4,0.395254059461233,74003.1504820514,0.7564686881235386,82907.90359025564,,
GaussianMixture,"n=2, cov=full",2,0.7153837545491953,44102.36574215886,0.46999060576003565,,-522276.942881063,-522097.50314102165
