customer_unique_id,n_relevant_test_items,n_recommended,hit_at_k,recall_at_k,mrr_at_k,ndcg_at_k
4d8017262c39ed921546de8130ddec3b,1,10,0,0.0,0.0,0.0
011b4adcd54683b480c4d841250a987f,1,10,1,1.0,0.25,0.43067655807339306
1e6b20395bc9690fe6735e6b6e0d2791,1,10,0,0.0,0.0,0.0
8d26c82c2086dcacc175e2ffe6ee2f28,1,10,0,0.0,0.0,0.0
efd751d25a1eee58e3718c7af7a3ba79,1,10,0,0.0,0.0,0.0
e8569c57efe3adf347b3e92ec04d1f91,1,10,0,0.0,0.0,0.0
98341ec53bd2130c32390570d0929da9,1,10,0,0.0,0.0,0.0
de34b16117594161a6a89c50b289d35a,2,10,0,0.0,0.0,0.0
a262442e3ab89611b44877c7aaf77468,2,10,0,0.0,0.0,0.0
35bbb96d850c5f9ab81302b4dd1670c4,1,10,0,0.0,0.0,0.0
6814507660c72078cbada9b3660683dd,2,10,0,0.0,0.0,0.0
f0911a59fdcd8b103c3c87226d8769c5,1,10,0,0.0,0.0,0.0
accd68fd87adda3d6360d77daafd964d,1,10,0,0.0,0.0,0.0
2707694d2e0e2505aa0e5aae6bf6d936,1,10,0,0.0,0.0,0.0
f46ebdbd5c48c0683980a759b8937912,1,10,0,0.0,0.0,0.0
9dc44558922ff57d14d99f20d37f440f,2,10,0,0.0,0.0,0.0
da0db337ede939840c3b01ee64616282,2,10,0,0.0,0.0,0.0
e4ff80fbd521c6f58655bd10d205479f,1,10,0,0.0,0.0,0.0
615922c430abddd368735199c38e735d,1,10,0,0.0,0.0,0.0
aaff146bd210808c7d004a05966472a7,1,10,0,0.0,0.0,0.0
ccd1f4baf9b611c967b847895e801c63,1,10,0,0.0,0.0,0.0
6746118163577769f5bad6a82a0b0790,1,10,0,0.0,0.0,0.0
70115d0e9a0d564ff0bb0315ccaae0eb,1,10,0,0.0,0.0,0.0
ee4de52e707ecea5db59cbf376e37855,1,10,0,0.0,0.0,0.0
3af5f7534be6d2d2d81562ee1dc98af2,1,10,0,0.0,0.0,0.0
8f7832ceda9edb617ec4db7ac64aac47,1,10,0,0.0,0.0,0.0
7973a6ba9c81ecaeb3d628c33c7c7c48,1,10,1,1.0,0.14285714285714285,0.3333333333333333
33aa371b7512b6a9fede4f231e212226,1,10,0,0.0,0.0,0.0
38dd3f4e8a4cc5e32dd0a4426a1961fa,1,10,0,0.0,0.0,0.0
35a71ad2ea8603b9557711cf960a2efe,1,10,0,0.0,0.0,0.0
3ead32e6288fee05cdd24c9999238a4a,1,10,0,0.0,0.0,0.0
f99fa0c7b369bde9c53edc9e6f6c4a58,2,10,0,0.0,0.0,0.0
a029899dd8534557a81c369475ff80c8,3,10,0,0.0,0.0,0.0
b7741f7ec50ab6bcd52ab08ea8f214d9,1,10,0,0.0,0.0,0.0
73b78f75df448f01b52aee67c38e1b4d,1,10,0,0.0,0.0,0.0
f00aa1cfc257dfff20184269b19db923,1,10,0,0.0,0.0,0.0
0b1ef8f1c964c96702a47c381c61f84f,1,10,0,0.0,0.0,0.0
6e5dd140cba7cbcb0c66aaff5e796786,2,10,0,0.0,0.0,0.0
aea1ccbc3f29445178036e658e686eb1,1,10,0,0.0,0.0,0.0
0b6d4f036c07e10854affe43fc4e718c,1,10,0,0.0,0.0,0.0
fac47e384fef9ddc9c3cad97ed3192e0,2,10,0,0.0,0.0,0.0
3eb2432c10c27f0444e15779fb248c88,1,10,0,0.0,0.0,0.0
1ce879e096d3c38f230acdab7165332e,1,10,0,0.0,0.0,0.0
0451ef5a31cea3e14ce02d768d7c9943,1,10,0,0.0,0.0,0.0
4f37b187b2d58f32f0739d1d4d9a12b1,1,10,0,0.0,0.0,0.0
79fa3eb416c3933311c949121225649f,1,10,0,0.0,0.0,0.0
72ff384d757b9a86b989214e8801b21f,1,10,0,0.0,0.0,0.0
0063817060d662048ed08bccecaf45d5,1,10,0,0.0,0.0,0.0
6d0d423516a68d7b751cdab41deb0539,1,10,0,0.0,0.0,0.0
56e3a158ef88285f2c15a83db0b13d93,1,10,0,0.0,0.0,0.0
448efcf5726e932fa4b8e5e11898aa49,1,10,0,0.0,0.0,0.0
a57efc75b64a030eb02c4ebe7f48e45f,1,10,0,0.0,0.0,0.0
7379b57a7a2b9aa2741a1c564138b99a,2,10,0,0.0,0.0,0.0
04d3c2795b83634312bf3f86f41f7901,1,10,0,0.0,0.0,0.0
5840f5f059bef65fc6f3bf1f4eb48e98,1,10,0,0.0,0.0,0.0
af4a0bb895d2c8c821bd955648aca24e,1,10,0,0.0,0.0,0.0
55bea30cd78db302debc515e81a851d4,1,10,0,0.0,0.0,0.0
71a26c172a544ccc789674f1fab9d951,1,10,0,0.0,0.0,0.0
7526a696a977e2f21118680d178d447f,1,10,0,0.0,0.0,0.0
636443768344855307bfe5f2f2f6ba2e,1,10,0,0.0,0.0,0.0
01a22e2079ea71e17313b88e5811e54a,1,10,0,0.0,0.0,0.0
0361e980b28826f4d286ac144d9b319a,2,10,0,0.0,0.0,0.0
f35271305526691e8269aa4a915e56a2,2,10,0,0.0,0.0,0.0
35ecdf6858edc6427223b64804cf028e,1,10,0,0.0,0.0,0.0
b1079e3544bf2cf3786e52f5f0220738,2,10,1,0.5,0.3333333333333333,0.3065735963827292
b44c3e3d672e8d4fa98b45abb3c38d66,1,10,0,0.0,0.0,0.0
a41b86830f14039dc56fb5a1879879e9,1,10,0,0.0,0.0,0.0
fa494e4132e6539d70a8478f1d0cf3e3,1,10,0,0.0,0.0,0.0
4fcf56f1cf3d583a0cec41f7f523a852,1,10,0,0.0,0.0,0.0
8ab0bd08720ee0dcd76ffa1785e5235d,1,10,0,0.0,0.0,0.0
3e47025034c5a31cff56168ac0519f1f,1,10,0,0.0,0.0,0.0
8581bbeb56d3b44ff048f21b5d74eeab,1,10,0,0.0,0.0,0.0
aa326373dd3c719eeb21d742971eff9f,2,10,0,0.0,0.0,0.0
aecfcfbdbed5deaea72b8f500f5bd071,1,10,0,0.0,0.0,0.0
c493a6f252752d99465b8fe3271a3429,1,10,0,0.0,0.0,0.0
0d57344e9e4e9d16dc699cb417e50cb0,1,10,0,0.0,0.0,0.0
fe1a0586d9ca0876528af23f3219ce3b,1,10,0,0.0,0.0,0.0
be4cb52f1e018e4ad1abc82eac59bfd3,1,10,0,0.0,0.0,0.0
645153adc47a2b420c17687062c364bb,1,10,0,0.0,0.0,0.0
fdc58370af81e72cd02ee17ff0e3164d,1,10,0,0.0,0.0,0.0
1412a71cfa4f44a7e5473220f820b4d9,1,10,0,0.0,0.0,0.0
731b6314516a598385b99728a73345ec,1,10,0,0.0,0.0,0.0
46a84f706aa22bdb63379610a77af307,1,10,0,0.0,0.0,0.0
3d1a4de14cf22cdd33d99140e82f1587,1,10,0,0.0,0.0,0.0
12f5d6e1cbf93dafd9dcc19095df0b3d,1,10,0,0.0,0.0,0.0
209e5691e2cda59cd71e45417d7f95a2,1,10,0,0.0,0.0,0.0
ee1558b9d88dafe04877aa84d177959b,1,10,0,0.0,0.0,0.0
6b88451897a1732390441060cbb92f0a,1,10,0,0.0,0.0,0.0
4133b4c6a467916af84d6c15cd5aabe5,1,10,0,0.0,0.0,0.0
e7a57c5b35cdb485d352afad87560042,1,10,0,0.0,0.0,0.0
f5c4966b33803ed39aaacd1358de8d60,1,10,0,0.0,0.0,0.0
91a8e898b4d523890123febf84dfbef4,1,10,0,0.0,0.0,0.0
df9bd60da4a8f8945d2b862aebd3d418,1,10,0,0.0,0.0,0.0
5182c0939da37d2f3acd9f2fb8b60d4f,1,10,0,0.0,0.0,0.0
189cbcf514cf83be8bc94f5563f61444,1,10,0,0.0,0.0,0.0
c5d3ed7ec11b725a565192292bb411cc,1,10,0,0.0,0.0,0.0
ae3e48f07b8242fa45f29dca1ce36a08,1,10,0,0.0,0.0,0.0
dbb8985cba830b580df7d14ef6a5d548,1,10,0,0.0,0.0,0.0
a358f5086c8e4e3e935c9bbf8b6db573,1,10,0,0.0,0.0,0.0
69f7e342c28eb22ef6845facd926e810,1,10,0,0.0,0.0,0.0
fddb8fbf1c62f17b8c28501408d902ec,1,10,0,0.0,0.0,0.0
3ef7989405f00bb74c7d463b0357abfd,2,10,0,0.0,0.0,0.0
