model,mae,mse,rmse,r2,train_time_sec,use_log_target
RandomForestRegressor,8.32273380152095,1058.7116354785846,32.53784927555269,0.976104074486361,21.514493942260742,True
DecisionTreeRegressor,9.043521325780757,1083.3500720966952,32.91428370930613,0.9755479662634333,1.1601588726043701,True
LinearRegression,17.166904190090857,3134.4330661765457,55.986007771375746,0.9292534656587734,0.9419763088226318,False
