metric,mean,std
accuracy,0.7141068284093133,0.0023819066279987715
precision_macro,0.5833812588542755,0.003841968107250073
recall_macro,0.5896338277812212,0.004739566293305497
f1_macro,0.5859569190099194,0.004156508187249329
roc_auc,0.6258107782717443,0.00518703590595231
