,precision,recall,f1-score,support
0,0.3333333333333333,0.37815750371471024,0.3543334493560738,4038.0
1,0.8278486219662691,0.7981360301407893,0.8127208480565371,15129.0
accuracy,0.7096572233526374,0.7096572233526374,0.7096572233526374,0.7096572233526374
macro avg,0.5805909776498012,0.5881467669277498,0.5835271487063054,19167.0
weighted avg,0.7236668128412211,0.7096572233526374,0.7161502675821556,19167.0
