,precision,recall,f1-score,support
0,0.3502409332995181,0.3420009905894007,0.34607192081192834,4038.0
1,0.8254729374671571,0.8306563553440413,0.8280565347741574,15129.0
accuracy,0.72770908332029,0.72770908332029,0.72770908332029,0.72770908332029
macro avg,0.5878569353833376,0.586328672966721,0.5870642277930429,19167.0
weighted avg,0.7253536265249686,0.72770908332029,0.7265146204850417,19167.0
