model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,fit_time_mean,test_time_mean
SVD_TUNED,1.3527598871066329,0.022522273692223486,1.1592425411322005,0.011974657367427524,0.02165355682373047,0.004143524169921875
SVD,1.4536786507464927,0.04837522835864151,1.2662255335355006,0.037194804196761716,0.026964282989501952,0.0025740146636962892
KNNWithMeans_item_based,1.8327704421474276,0.05708855854757636,1.473150391714163,0.04379351797486091,0.017096281051635742,0.003034210205078125
