model,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_recall_macro_mean,cv_f1_macro_mean,cv_f1_macro_std,cv_roc_auc_mean,cv_roc_auc_std
RandomForestClassifier,0.7141068284093133,0.0023819066279987715,0.5833812588542755,0.5896338277812212,0.5859569190099194,0.004156508187249329,0.6258107782717443,0.00518703590595231
LogisticRegression,0.6198395617296029,0.003974175440787866,0.5511176771268114,0.5721113612025457,0.5413915190907413,0.004376434983433286,0.6031090466583129,0.00534546774835026
GradientBoostingClassifier,0.7925780995239027,0.0009546037677444365,0.7109298304136135,0.5160149598885944,0.47751034891307204,0.003243514161031833,0.6238617413427313,0.006812473392017001
