model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,recall_class_0,precision_class_0,f1_class_0,recall_class_1,precision_class_1,f1_class_1,train_time_sec,fit_rows_used
RandomForestClassifier,0.7096572233526374,0.5805909776498012,0.5881467669277498,0.5835271487063054,0.6259710979549786,0.37815750371471024,0.3333333333333333,0.3543334493560738,0.7981360301407893,0.8278486219662691,0.8127208480565371,10.2873694896698,76665
GaussianNB,0.7043355767725779,0.5551827136730759,0.5550924751446623,0.555137373323866,0.5816213517358116,0.2971768202080238,0.29784065524944153,0.29750836742283376,0.8130081300813008,0.8125247720967103,0.8127663792248984,0.5081079006195068,76665
SVC,0.6357280742943601,0.5494815952384164,0.5670053783131243,0.544839049252319,0.59876663795208,0.4482417038137692,0.2757464960390006,0.34144501037540087,0.6857690528124794,0.8232166944378323,0.748233088129237,1265.5517327785492,76665
LogisticRegression,0.6157458131162936,0.5484177657582634,0.5685084008090108,0.5378262617694938,0.5990597748908667,0.4868746904408123,0.27083620333379255,0.34805700628485436,0.6501421111772093,0.8259993281827342,0.7275955172541332,3.2272398471832275,76665
GradientBoostingClassifier,0.7922992643606198,0.6982813720683343,0.5172247006600099,0.48061112735868916,0.6232852724944214,0.04185240217929668,0.6014234875444839,0.07825885621671683,0.9925969991407231,0.7951392565921847,0.8829633985006615,26.150355577468872,76665
