cluster_kmeans,customer_count,recency_days_mean,recency_days_median,frequency_orders_mean,frequency_orders_median,monetary_value_mean,monetary_value_median,customer_share_pct,business_score,segment_name,business_strategy,order_count,avg_review_score,avg_payment_value,avg_delivery_time,top_state,top_category
2,2801,220.2945376651196,199.0,2.1138878971795787,2.0,308.5887932881114,225.54999999999998,3.0,2.6175,VIP / Repeat buyers,"Upsell, loyalty và chăm sóc cá nhân hóa.",5943,4.2118485825836025,145.955251556453,12.308520930679878,SP,bed_bath_table
3,16172,42.26038832550086,38.0,1.0,1.0,133.53878122681178,103.67500000000001,17.32,0.439,Recent active,Cross-sell sản phẩm liên quan và giữ nhịp mua tiếp theo.,16217,4.311725334655429,133.64117161003884,8.597179242724664,SP,health_beauty
0,32165,272.5248872998601,255.0,1.0,1.0,295.93430623348365,199.4,34.45,-0.3493,High-value lapsed,Win-back campaign cho nhóm từng chi tiêu cao nhưng đã rời xa.,32216,4.04183223303401,296.0916712192699,14.44516637236663,SP,bed_bath_table
1,42220,287.71968261487444,270.0,1.0,1.0,68.20910540028423,65.88499999999999,45.22,-2.7072,Low-value lapsed,Voucher tái kích hoạt chi phí thấp để kéo đơn hàng quay lại.,42307,4.1659372026641295,68.27692785893254,12.67258203063319,SP,bed_bath_table
