metric,mean,std,model
mae,8.85334467695122,0.5599665579819665,RandomForestRegressor_TUNED
rmse,56.244734670402615,23.768417224752252,RandomForestRegressor_TUNED
r2,0.9319627644421477,0.048364271338555954,RandomForestRegressor_TUNED
