model,mae,mse,rmse,r2,train_time_sec,use_log_target,stage,selected_for_deployment
RandomForestRegressor,8.32273380152095,1058.7116354785846,32.53784927555269,0.976104074486361,21.514493942260742,True,baseline,False
RandomForestRegressor_TUNED,8.243743788640678,1012.9374774129136,31.826678705339543,0.9771372319911356,199.3643741607666,True,tuned,True
