feature,target,n_rows,n_rows_before_top_n,rows_removed_by_top_n,top_n_applied,n_categories_tested,degrees_of_freedom,chi2_statistic,p_value,significant_at_0_05,cramers_v,cramers_v_strength,expected_lt_5_count,expected_lt_5_ratio,expected_lt_1_count,expected_lt_1_ratio,assumption_expected_lt_5_ok,assumption_expected_lt_1_ok,interpretation_note
customer_state,review_label,98673,98673,0,all,27,26,633.439717137944,6.234454808005009e-117,True,0.08012231315429287,negligible,0,0.0,0,0.0,True,True,Có ý nghĩa thống kê | Effect size: negligible | Giả định expected count đạt
main_category,review_label,77227,98673,21446,15,15,14,252.89516272450948,7.237352792645334e-46,True,0.05722498388411064,negligible,0,0.0,0,0.0,True,True,Có ý nghĩa thống kê | Effect size: negligible | Giả định expected count đạt
payment_type_mode,review_label,98673,98673,0,all,6,5,36.02631359933096,9.383687972744377e-07,True,0.01910780261452735,negligible,4,0.3333333333333333,3,0.25,False,False,Có ý nghĩa thống kê | Effect size: negligible | Diễn giải thận trọng do expected count thấp
