main_category,negative_or_neutral,positive
auto,-0.5347890621345505,0.28940355754630015
baby,2.022085866582359,-1.094261055222921
bed_bath_table,8.199892643013806,-4.43740957025948
computers_accessories,2.6347437683954604,-1.4258036930545013
cool_stuff,-3.188181566755009,1.7252990998725881
electronics,-0.8573146781731354,0.4639397761982399
furniture_decor,4.102098195756473,-2.219869281764601
garden_tools,-1.9675756174506203,1.0647625835105547
health_beauty,-4.4457207379467585,2.405822198912994
housewares,-2.0188509573047955,1.0925104692077108
perfumery,-3.245385393309391,1.756255213380258
sports_leisure,-4.967989185900192,2.688450168581317
telephony,3.5853197141238176,-1.9402122325891336
toys,-3.390101785075226,1.8345691535441295
watches_gifts,1.4341953033301018,-0.7761213764231812
