main_category,negative_or_neutral,positive
auto,861,3010
baby,696,2150
bed_bath_table,2478,6802
computers_accessories,1606,5033
cool_stuff,715,2841
electronics,551,1972
furniture_decor,1582,4718
garden_tools,728,2729
health_beauty,1783,6962
housewares,1234,4536
perfumery,623,2509
sports_leisure,1519,6098
telephony,1049,3097
toys,763,3045
watches_gifts,1305,4232
