customer_state,negative_or_neutral,positive
AC,21,60
AL,126,284
AM,27,119
AP,13,54
BA,965,2375
CE,392,934
DF,488,1640
ES,482,1524
GO,487,1520
MA,236,506
MG,2501,9053
MS,158,555
MT,202,698
PA,284,678
PB,136,394
PE,404,1231
PI,132,358
PR,1005,4014
RJ,3665,9022
RN,106,374
RO,66,186
RR,18,28
RS,1175,4268
SC,847,2762
SE,105,244
SP,8526,32946
TO,61,218
