customer_state,negative_or_neutral,positive
AC,0.5626190244998208,-0.3069037297041025
AL,3.297835246488456,-1.7989401229308755
AM,-1.120091275475407,0.6109999397159349
AP,-0.6032611317532712,0.3290736417688556
BA,7.192643972275273,-3.92352402851553
CE,5.0417333839929315,-2.7502212195841094
DF,1.8350670120531845e-05,-1.0010129157608923e-05
ES,1.0246967118168073,-0.5589630442228487
GO,1.2468145747604762,-0.6801263849611354
MA,5.0475283819452565,-2.753382340000854
MG,-2.8868663030359736,1.574760178695527
MS,-0.4307017077289749,0.23494399360111035
MT,-0.3056321770931544,0.16671966460939297
PA,4.267929619156322,-2.3281180713683884
PB,1.3115015926027374,-0.715412584280251
PE,1.5005951161809143,-0.8185614383394032
PI,1.8519759262433895,-1.0102365798803306
PR,-4.302681587224874,2.3470749643107767
RJ,14.007985653644072,-7.641232975665762
RN,-0.3884126477756998,0.21187568332333684
RO,1.080063643731019,-0.5891652186371427
RR,2.2941387977552563,-1.2514325375255766
RS,-2.072058392152188,1.1302896294371536
SC,0.6734053440445436,-0.3673366926645909
SE,2.790720661968873,-1.5223135770817209
SP,-10.095066129984778,5.506769789123768
TO,-0.3726986224772577,0.20330382072582898
